Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
1.527949,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4297,-2.5391,-0.4805,-0.0293,0.0098,0.0195,22.1875,-20.25,-15.9375,-0.0391,-0.0859,0.0195
1.533039,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4258,-2.4805,-0.5391,-0.0293,0.0098,0.0195,22.1875,-20.25,-15.9375,-0.0391,-0.0859,0.0195
1.538170,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4258,-2.4805,-0.5391,-0.0293,0.0098,0.0195,22.1875,-20.25,-15.9375,-0.0391,-0.0859,0.0195
1.540992,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4258,-2.5078,-0.5664,-0.0293,0.0098,0.0195,22.1875,-20.25,-15.9375,-0.0391,-0.0859,0.0195
1.560007,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4492,-2.5078,-0.5586,-0.0293,0.0098,0.0195,22.1875,-20.25,-15.9375,-0.0391,-0.0859,0.0195
1.565965,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4492,-2.5,-0.5078,-0.0293,0.0098,0.0195,22.875,-21.3125,-16.875,-0.0391,-0.0859,0.0195
1.583116,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4492,-2.4883,-0.5195,-0.0293,0.0098,0.0195,23.25,-20.25,-16.875,-0.0391,-0.0859,0.0195
1.588651,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4922,-2.4609,-0.5195,-0.0293,0.0098,0.0195,22.8125,-23.4375,-16.0,-0.0391,-0.0859,0.0195
1.593741,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4531,-2.4531,-0.5273,-0.0293,0.0098,0.0195,22.8125,-23.4375,-16.0,-0.0391,-0.0859,0.0195
1.605748,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3984,-2.4531,-0.4805,-0.0293,0.0098,0.0195,22.875,-20.5625,-15.5625,-0.0391,-0.0859,0.0195
1.617663,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3633,-2.4414,-0.5,-0.0293,0.0098,0.0195,22.875,-20.5625,-15.5625,-0.0391,-0.0859,0.0195
1.632245,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3359,-2.4023,-0.5,-0.0293,0.0098,0.0195,22.875,-20.5625,-15.5625,-0.0391,-0.0859,0.0195
1.659468,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3438,-2.3477,-0.4727,-0.0293,0.0098,0.0195,22.875,-20.5625,-15.5625,-0.0391,-0.0859,0.0195
1.681595,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3828,-2.3281,-0.4922,-0.0293,0.0098,0.0195,23.25,-20.25,-16.4375,-0.0391,-0.0859,0.0195
1.692510,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3516,-2.3828,-0.5195,-0.0293,0.0098,0.0195,23.25,-20.25,-16.4375,-0.0391,-0.0859,0.0195
1.695675,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3711,-2.4414,-0.5273,-0.0293,0.0098,0.0195,22.1875,-21.3125,-16.875,0.0352,-0.0039,0.0039
1.698127,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3203,-2.4336,-0.5195,-0.0293,0.0098,0.0195,22.1875,-21.3125,-16.875,0.0352,-0.0039,0.0039
1.732182,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3359,-2.375,-0.5859,-0.0293,0.0098,0.0195,22.5,-19.5625,-17.25,0.0352,-0.0039,0.0039
1.738995,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3516,-2.3555,-0.5586,-0.0293,0.0098,0.0195,23.1875,-22.0,-16.875,0.043,0.082,-0.0352
1.760497,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3867,-2.375,-0.5977,-0.0293,0.0098,0.0195,23.1875,-22.0,-16.875,0.043,0.082,-0.0352
1.771611,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3867,-2.375,-0.5977,-0.0293,0.0098,0.0195,23.1875,-22.0,-16.875,0.043,0.082,-0.0352
